contents,star
Not a useful app. it doesn't work to opan files labelled as binary files. Very disgusting.%,5
Not a useful option. It doesn't work to open files labelled as binary files. Very disgusting.,1
"Useful app. Seems correct working. But didn't understood why 2 methods are there. Also in method 2, when i click refresh button, it shows 2 4 8 16 32 but i haven't edited that file. Also when i open file using **open with** in file manager, two file viewer shows up without different name(method 1 and 2). All other thing are good but too much ads playing. I wanted such editor app which could open both ascii and binary files just like vim and nano editor but liked its hexedit analogy",4
"it sucked from the minute it was installed as it would not open to start anything kept giving error msgs re: the app had shut its self down,, restart and try again multiple times repeating same msg.. so after balie t.effirt in my part.. it still wouldnt ooen its self to start doing anything from finish of download and installing itself, i gave up on it.. not worth the effort to just start it.. kinda seems possible its symptomatic of a commie data info spyware trojan. Its pretty darned weird",1
It is even afraid of opening the bin file 😂. I even don't know what bin files does this app open.,1
Very very useless app for opening bin file. I really don't know does any bin file open in this app. I really want to give minus rating.,1
"It is a worst app ever I have never seen this type of disgusting app now let you know my problem is that it is showing so much adds and does not open the files easily and properly. So, please solve this issue of the app except it all things are well in this app.",1
Just plays ads and doesn't open files. When the Ad ends it goes back to the 'Select File' screen,1
"Doesn't even try to open and decompress BIN files, it's just full of pop-up ads and nonetheless, useless.",1
Doesn't work. Loaded with ads. Possibly malware. This should be removed from the store and the people who made it should be beaten.,1
"This app is very bad..I downloaded it for my study purpose but, while opening the file the file is fully blank",1
Opened it up and then Uninstalled it right away it DOESN'T WORK at all.,1
It is very bad app in the world. It is not working for bin files So don't download it apps. Rate of this app 0.,1
terrible can't even read a simple binary dump and ofcourse shows more ads than any other app I have used in past,1
Didnt realize that only opened number binary folders only.,5
"""Open file"" did NOT open file. Ads galore and no functionality.",1
It doesn't show or open any file and show many Ads it wasted my time a lot.,1
this is a worst app i am warning every one not to download this app use less i downloaded for study purpose then it only shows numbers not file .,1
"Could not even view a bin archive, went straight into error.",1
Didn't open the file and too annoying ads!,1
Only ads and don't-needed animations. Avoid this app.,1
Worst app that I've ever seen.. Useless app when I open my binary file that would blank...,1
HORRIBLE. ITS SLOW TO EVEN UNINSTALL. DO. NOT. DOWNLOAD. AND THE ADS.,1
"Terrible app, way too many ads and it didn't load my bin file from whatsapp",2
This app does not open bin files.... its full of ads only,1
