contents,star
"Voice conversations choppy, doesn't work anymore. It was working great, but then one day all of the voices never choppy and clicky. I can't make out what they're saying anymore. It also has a much harder time picking up what I'm saying. Sometimes it thinks I'm just saying ""bye"". Cleared cache, reinstalled, didn't help. Anyways, great app otherwise - looking forward to fixes!",3
"The ChatGPT app is absolutely phenomenal! It's become an indispensable tool in my daily life. The app's ability to provide quick, accurate, and insightful information across a wide range of topics is truly impressive. The interface is user-friendly, making it a breeze to interact with this AI. Whether I need answers to complex questions, assistance with language and writing, or just some casual conversation, ChatGPT excels at it all. It's like having a knowledgeable friend in your pocket at all",5
"The ""Voice Conversations"" feature is fantastic but has some shortcomings that need to be fixed. First, when I use it in the car, it drops out periodically and doesn't realize that I never heard the missing part. Instead, it should pause or restart when it reestablishes connection. Ideally, it sends the audio stream ahead of time so that a cell network glitch isn't noticeable by the end-user. It would also be good if it remembered our previous conversation instead of losing context.",5
"Easily the best app I've ever downloaded. Highly impressed. I only have 1 concern at the moment, and that is the fear of potentially losing a chat or chats getting too long for the AI to ""remember"" past details. Would love to see 1.) A way to save chats permanently. 2.) A search function so that I can search for past information, so that I can copy and paste it to ""refresh"" the AI's memory for context that has fallen outside it's context window.",5
"It's like having a personal assistant who is capable of doing most simple tasks instantaneously. Write an email, give you instructions on how to do many web-based tasks, help you do research... those are just some of the most basic things the app can do. I think the most involved aspect of using this app, is figuring out, and exploring all of the things it can do!",4
"It's a good start! There are a few additions that would make it great though. 1) Enable an option to choose v4 by default. One less click. 2) After asking a question, the keyboard remains on screen taking up a third of the screen space and I have to manually minimize it. Automatically hiding it would be a better UX. One less click. 3) Include same options on the web version, including access to custom instructions, plugins and new beta features. 4) Include a text to speech option.",3
"Amazingly informative 👌. It would be extremely beneficial if the developers added a function to ""SELECT ALL"" and ""PRINT"" for a full day's worth of communication rather than having to try to copy and paste multiple sections. Going back and forth between two apps on a phone is very inconvenient.",5
"ChatGPT App is an absolute game-changer in text-based communication. With its intuitive design and exceptional AI-powered responses, it has taken my daily interactions to the next level. The interface is user-friendly, making it suitable for both novices and experts alike. Whether it's a simple question or a complex query, the app provides accurate and timely responses. The free version is robust, and the paid plans offer even more advanced features. Highly recommend!",5
"The ChatGPT Android app is an absolute delight! Its user-friendly design, informative answers, and engaging conversations make it a standout choice. I hope it remains simple and functional as new features are added. The app's adaptability and vast knowledge base are truly impressive, making it an invaluable companion in daily life. Kudos to the developers for striking the right balance between innovation and usability. I look forward to the app's continuous growth and hope it does go bad",5
"Good at explaining things in specific ways i could never instantly get a person to do. Only issue is that there should be some options: Such as, being able to delete certain segments of a long conversation that you no longer want to be shown. Or at least being able to search a chat for mentions of a word. Things like that which prevent ppl from having to scroll through everything in a chat that's been going on for a while. This app is very helpful AND entertaining though lol",4
"🪲BUG🪲: When scrolling down, the v arrow still shows even if I'm at the bottom, only going away if I press it. Pretty annoying. 10/10 good for digital minimalism to get fast answers without being tempted to scroll through images, basically Google but better, and we all know Google is the best thing since sliced bread and penicillin, this is even better. Use custom instructions to make it act as you want, basically Character.ai but for an OC. This part needs better support for other languages.",5
"Generally useful. I wish that it would offer the option to read aloud it's response to me, or even better, detect that I provided voice (to text) input in forming my query and THEN respond by reading aloud. Also, I appreciate that the app, by default, adjusts it's UI theme based on my system settings. Well done. However, that only kicked in after I had logged in after installation. It's initial login/setup screen used the default BRIGHT WHITE high contrast scheme that is very painful for me",3
Pretty awesome so far. The only thing new I want to see added is a widget for it that I can place right below my Google search bar on my phone. Edit. I would also like to see an export option where I could export my entire conversations as a text file. Sometimes I want to share what I asked or put into the app and the apps responses with my friends. Or just generally save the conversation externally. The current method of just copying each response or entry isn't enough.,5
"I'm delighted to share my experience with this incredible AI chat app! From the moment I started using it, I was amazed by its intelligence and responsiveness. The app's natural language processing capabilities are outstanding, making conversations feel smooth and engaging. It adapts to my preferences, quickly learns from interactions, and delivers personalized responses. The range of topics it can discuss is impressive, and it always provides accurate and helpful information",5
"The more you use it, the better you become at prompting. I recommend using the microphone feature in the app to convert your speech to text and talk normally. It understands fine and you will find that this will help you with prompting and getting good use of the tool. This is truly an incredible technology. OpenAI and some others are some of the greatest heros in history as they have made sure that everyone has access to these tools. We wouldn't have touched it for 50 years otherwise. Thank U",5
"I'm sure it's lovely if you can sign in. But I have a paid account linked to my Microsoft address, and this...won't let me use that to sign in. Cool. Edit: now I can sign in with my Microsoft account...and it doesn't give me access to my paid plan options *or* the conversations I've had in the browser. Not impressive. Edit 2: after restarting my phone, I have access via the history menu. Will update again after using the application for a while.",3
"NO ADS SO FAR. YES!!! Very good voice recognition. The ai is very helpful for practicing Spanish. The ai can be used for anything reasonable that you can think of. I've used it for poetry, music related things, STEM subjects (although it's not always going to be correct, it trys hard to work with what its given). Very helpful, and fun tool. Highly recommended.",5
"This app is a mixed bag. On one hand, response times are vastly superior to those in the browser, custom instructions set in the browser are carried over and the ability to say what you want as a message is a crucial accessibility feature. On the other hand, messages are not possible to edit, which is a severe shortcoming in my opinion. The app is also quite basic, and any discussions done in the browser can't be continued in the app. Overall, it has great potential and can easily be improved.",3
"You've been using ChatGPT AI for a while, and it's among the best AI companions. It's lightning-fast and responsive, aiding you effectively. However, the app lags behind the web version in performance. The AI provides insightful and accurate responses for various tasks. The app interface is clean and user-friendly, but it can stutter compared to the web version. Despite this, it's a game-changer and a great on-the-go tool. Some performance optimizations could make it perfect",5
"I love the app so far, and voice is great, but a few issues need to be ironed out before a five star is reasonable: 1. Voice doesn’t recognize for about a second or a little less. Once it tells you to talk, you have to wait about a second before it actually recognizes what you say. 2. When you leave voice to go back to messages, you always have to scroll down. 3. The scroll-to-bottom button appears even if you are at the bottom. 4. No way to view message log during voice communication.",3
"The more intelligence you supply, the greater the return for your effort. This is about chatgpt and similar Ai as a whole. As for this app, it's convenient and works well. Note: history shows if you click it, it doesn't just appear automatically. Nothing negative to say about the app at all, works exactly as expected.",5
"The app is good, but there's an issue with chat history syncing. Conversations initiated on the web version don't appear in the app, significantly affecting the app's usefulness. Additionally, attempting to refresh the chat history brings up an ""error occurred"" message. In essence, this is an app that actually limits access to the model.",2
"""I've been using this AI app for a while now, and I'm truly impressed with its capabilities. It consistently exceeds my expectations. The app's user-friendly interface makes it incredibly easy to navigate and utilize its features effectively. The AI's responses are not only prompt but also remarkably accurate. I appreciate how it adapts to my preferences and provides personalized recommendations. Whether it's helping me with research, answering questions, or even just engaging in casual conver",5
"ChatGPT on Android is a solid app with seamless OpenAI server connectivity, ensuring smooth interactions. However, it falls behind its Apple counterpart in features and updates. The voice input can be prematurely triggered by pauses, unlike on Apple. Additionally, the lack of a search function for previous messages is a drawback. Despite these, it remains a commendable app, deserving a 4-5 star rating. With minor improvements, it can match its Apple version.",4
"The app is way better than the website! I have only two issues though: first, it requires phone number for sign up (but it asks you on website too); second, that's a very little bug (I didn't found any other bug, even small), but when I scroll down the chat I must wait a couple of seconds and once down it appears the button to go down anyway. However it's not that annoying. It also have long-term memory and can learn rapidly. You deserve 5 stars at all.",5
"This app is improving by the moment. With minimal input from me, just a few times, I have marked a response as being a ""Good Response,"" it has continually improved the way it responds to me specifically. I'm no programmer, but I had imagined what the interactions would be like with a personal AI assistant, and with each interaction, it gets closer to that ideal. Using this app for only the most basic if it's capabilities, I have freed up hours of time each week. 11 hr/wk so far, to be specific.",5
"I've been using the ChatGPT app for some time now, and it has truly impressed me. The AI's responses are consistently helpful, informative, and engaging. The interface is user-friendly, and it's easy to have meaningful conversations on a wide range of topics. I particularly appreciate the app's reliability and the convenience of having access to this AI assistant on my mobile device. Overall, ChatGPT is a valuable tool that enhances productivity and provides answers to various questions. I highl",5
"I updated my review from 2 to 4 stars because the app now works on my Chromebook, after a recent update. Earlier, I was not able to log in with the Chromebook because the app could not find any suitable browsers. Now it can. In my case, the app found and used Edge, which was not the ""default"" browser. I want to point out that the app never had any issues on my Android phone. The app seems to have all the features that I liked in the web version. Convenient speech to text is a plus.",4
"Overall, the app is quite useful, but there are a couple of bugs that need attention. Firstly, the code syntax doesn't have a distinct visual style from the normal text, which makes it challenging to differentiate. Secondly, when the text edit box is expanded in dark theme, the text appears black, making it difficult to read. I hope these issues get fixed soon as they would greatly improve the app's usability.",4
"The App interface is simple and easy to use, but I have some suggestions : 1- add optional audio reader for answers. 2- when asking the AI using microphone 🎤 it's better to send the question automatically without the need to press the sending button, so it gives the atmosphere of real-life conversation. Please take it into consideration, thanks for your efforts, keep it up!",4
"I've been using the ChatGPT for a while now, and I'm thoroughly impressed with its capabilities. The AI-generated responses are surprisingly natural & making conversations feel smooth and engaging. The app's ability to understand context and provide relevant answers is truly remarkable. I've found it to be a valuable tool for brainstorming, getting quick information, and even just for some lighthearted conversations. While there's room for improvement in occasional unders",5
"Amazing, it's sleek and professional looking, without looking overly ""corporate"", and the performance is faster than using a browser in mobile. Only complaint is that, in the process of making it simple, they removed some quality-of-life features, such as editing prompts, hiding edited prompts that were made in the browser and anything before and after regenerating a prompt in both browser and app, and placing all previous chats into a history section instead of just putting it in the sidebar.",4
"Smooth design and wonderful experience. However, I have some criticisms: - I would like to have easy access to my conversation history without having to go through the entire chat history. - When I open an old conversation, it scrolls from the first text I sent to the last one, causing a long waiting time. - The code blocks don't come with colors; they only display as black text on a white background.""",4
"I've been using chatGPT for a while but I've just tested out the microphone speech recognition option for the first time, and let's say... I'M COMPLETELY BLOWN AWAY. NO, SERIOUSLY. It literally puts ALL the expressions, punctuation, in the right place. No matter how you talk, it converts it without a problem. It's amazing and I will probably will never type to ChatGPT again! Still though... that's some outstanding work. Now we wait for voice responses from the Bot! Hopefully...",5
"I use ChatGPT a lot for my studies and was happy when they announced the app. The app is cool and simple but it'd be great to bring some of the features on the website into the app. Like the design and Layout. For example, it's a bit long to have to go through the history to get my chats. And it would really also help if they added a search feature so you can search for keywords in your previous responses.",4
"This app is better than I expected. The interface is minimalist just like the site and the responses are quick. it doesn't take much space either but I noticed it uses a lot of internet traffic/mobile data(considering it runs on cloud based systems) but either way, I really appreciate this mobile app! Easy to use, straight to the point.",4
"The ChatGPT Android app has completely blown me away with its exceptional performance and versatility! As an AI language model, it consistently delivers impressive responses to my queries and provides insightful suggestions. The ease of use and intuitive interface make chatting with ChatGPT a delightful experience. In all seriousness, it's good. It works. I would still recommend using the browser though, as the app lacks a few features, such as editing a message after it's sent.",4
