contents,star
"Honestly I have never written a review for any game before, but as soon as I opened the app it was so terrible I had to. Firstly, no tutorial?? If your gonna make a game at least show me how to play. Also there's way too many ads, the game is barely playable. Graphics are bad, absolutely no music, and makes you feel bad when you finally run put of lives. Bad game do not recommend.",1
"Just plain bad. The premise is unique, so terrible trying to be ""not like the other games"". No ads, so of course it's awful because I can't watch my precious ads. It provides a challenge, which is completely heinous because I need everything handed to me. One good thing about it though is that there's no way to get back to the menu when you play. But that doesn't take away from the absolute awfulness of this game. DO NOT PLAY!!!",1
"It gets boring after playing it for some time. It is a classic arcade game therefore the game is infinite play, have multiple lives, no story and easy to learn. It is lacking in background music; background music is important in a game. It sets the mood in the game, and it adds and establish a more engaging experience. Overall, the game is not that good, and its not that bad either.",1
"The gameplay concept could've been good as a time-killer arcade game, but as it is now, the gameplay experience is not very enjoyable. The colors are eye-straining, the GUI is very basic, and the SFX can get annoying after a while. Overall, the objective of the game has potential, but these aspects hinder it from reaching its full potential.",1
"(Alec Rogel Ramos of BSCS221A) I have played the game for less than 20 minutes and I have to say... This game hurts my eyes. The gameplay is simple and repetitive, with its difficulty increasing very subtly. The background is plainly white and combining it with moving colored tiles makes it difficult to focus. There is no tutorial mode to teach you want to do and what to expect to the game, and I happen to stumble upon a bug where the color palette of the tiles changed, making it difficult.",1
"It is no good at all. I kind of hurt my eyes by playing longer. There were a lot of things that were needed, like an instruction manual. Another is that the display is not good, and the next screens are just plain white and the color boxes strained my eyes. Another, I think, is one game mode that is not challenging because they just depends on speed on how users make wrong move to lose a life. The sound effects kinda too simple. Overall the game needs a lot of improvement to make it enjoyable.",1
"The game is poorly designed, with eye-straining colors and lack of background design and special effects. It lacks clear instructions and gameplay guidance, making it unappealing. In terms of difficulty, it is not progressive unlike other games where it get harder overtime. There are minor issues with box responsiveness to taps, occasionally registering either too few or too many. Despite these drawbacks, the game has potential for addictiveness but fails to stand out and becomes dull quickly.",1
"This was definitely an experience of all time. I'm still dizzy from the eye-strain from the colors and the eventual speeding up over time as I gained a higher score. My brain ended up stalling every once in a while trying to match while it scrolled faster and faster. Colors have lost their meaning at this point. I still don't fully understand how the scoring works. Terrible experience, made even worse that I started my day off with this. Thanks. I need a nap. -German, BSIS221A",1
"The game is interesting, i don't know that to expect the first time I'm playing. It's great that the game include on and off audio settings. After playing quite a while my eyes started to hurt becauss of the bright colors, maybe change some colors that you were using, like make it dark if the background is light and vice versa. My mind enjoyed playing the game, a great exercise for hand and eye coordination.",2
"I give the game a 1 star rating because it lacks details that a game must have: 1 - It doesn't have a direction/instruction on how to play the game. 2 - When the game goes faster and when a color is pressed, sometimes it doesn't register in which that should've added 10 points to my score. 3 - The point system stays the same as the game progress, it would be interesting if the game could give a bigger point if I clicked the right color as the game goes faster and faster",1
"The game lives up to its ratings, as every aspect of it is boring and underwhelming. The visuals in the game are uninteresting because of it's simplicity, with the bright white background being displeasing to look at for extended periods of time. The gameplay also feels tedious and lackluster, as you aimlessly tap on boxes until you make three mistakes. Lastly, the game is very forgiving as you are granted additional lives when one is lost, making it harder to lose. - Kyle De Mesa, BSIS221A",1
"This app truly lives up to its name, which is the lowest rated app here in the Play Store. Thank you, devs, for creating a game that never fails to disappoint. The game lacks sufficient challenge, as you can play it endlessly while the app is open without interacting with it. Additionally, the game's settings are quite uninspiring, starting with its plain background, lackluster textboxes, and irritating beeping sound effects.",1
"The gameplay is tedious and annoying as hell, it's repetitive and gives no sense of achievement at all even after getting a high score. Playing this felt more like doing a chore than playing an actual game. Although, it's important to note that the game developers intentionally designed the game this way as part of their concept: ""lowest rated app.""",1
Rated one star because that's what the devs wanted. Real rating: 2 stars. It lacks variety in its gameplay and can even be an eyesore when playing it long enough. Adding variety like different types of shapes and said shapes coming out from different directions could make the game more challenging and keep the players interested longer.,1
