contents,star
Good graphics with a very generic base/troop timer upgrade system. The game gives limited information during the opening tutorial and cluttered the screen with a ton of sale items that it blocks your view and cheapens the over all game. Between the cluttered screen none existent story and the standard game play that feels like a copy and paste from dozens of other such games. This wasnt for me. Need to clean up the screen and streamline the game play.,2
"From the starting screen, that filled me with nastolagia, I knew it would be an amazing game. I was right. Not only are the art styles beautiful and the culturally accurate story very enticing, but the gameplay is also spectacular. While in other games, there's only so much you can do in a period of time, you can play forever in this one. It is not pay to win, and the strategic part is definitely there.It's both an easy and challenging game. You choose which. Exactly what I've been looking for.",5
"The lagging is killing me. Every. single. tap. creates the spinning ball of doom. Poor engine design. The graphics are great, but the lack of a dismissal/skip ahead option, is tedious for those of us experienced in strategy games and hate being forced to follow a storyline. All that, I could cope with. But it's the lagging that really wrecks it for me. It's my only phone game that lags. I can't see me playing much at all, at this point. Too annoying to wait up to 30 seconds, after every tap.",2
I've played a few games now that have this exact same format. Started out fun with lots to do and build then BOOM you hit the wall and everything slows down and progress is a chore unless you want to pay to win. Shame because it has the potential to be a great game. I've played too many games and invested time and occasionally money only to see developers cancel the game and you lose all the effort you put into it. Sorry it's just not worth it to me.,3
"About 90 minutes into game and so far I'm impressed with the speed that I can switch through menus from the HUD. Overall, graphics are pretty good (running on medium on tablet), although I'm a very spoiled Elder Scrolls PC gamer so I have pretty insane standards for what gets a 10/10 on graphics. Overall, the story pacing is awesome for an Android game, not too fast, not too slow. I'm HOH so I can't speak to sound or music as I don't use either, but the captioning is awesome!",4
"This has been a fun game. Originally, I began playing it due to affiliation with a game that pays you to play games, but this one I really enjoy because I haven't had to use a single penny! I have been able to progress, though finding all the ways to upgrade your warriors and troops was confusing at first. Too many interfaces. Other than that, Lots of fun!",4
"Cool enough game for medium-to-fast paced strategy. Still miss this type of game in the laid back style of earlier civilization style games that let you build and explore at your leisure without punishing you for it, though there were still plenty of rewards for those who chose the ambitious route...",3
Very soothing and puts your mind to work. But I would do a 9.5 because it take a long time to get in but other than that it is really fun! I would recommend to people who like to be a little challenged 👌.And there's absolutely no adds so no interruptions very addicting hope you enjoy if you install!!👌,5
"Graphics 10/10 Music 10/10 Gameplay 10/10. You can easily play this game for free they give you a tonne of resources and speed up's for free, yes the building time's get longer but that's with any base building game. Micro transactions are fair. Big fan of the game, job well done Devs. My only issue is the app icon would look better if it was just black with logo instead of the trees.",5
"It's annoying, when I start playing and it's in the loading part, it doesn't load and it doesn't enter the game, it just stays in the intro part, I tried to reset the app and re-download but it's still the same, it sucks",1
"I fin this build game pretty good for jumping in and out as you need to build/farm . there's lots to do at first and it grabs you in . this is what I'm finding at the moment anyway. I just wish these games would let you free play and crack on with the game Instead of taking weeks to build a tent ! . I get they do it for the money but not everyone has money to play a game on a 6"" screen at best . but Yeah this is 1 of the better ones I have found",4
It is genuinely fun and pretty easy to do stuff you can play for a couple of minutes and then it works mostly in the background and the music is great especially if you like Viking games and it has voice acting which is pretty decent. 9-10 would recommend,5
"This game is great and I would recommend playing it on newer phones for optimal performance as the game is big and needs space. I've read many reviews of irritated users saying the game is poor quality and is very laggy, those sole reasons mostly trace back to old phones that aren't able to give top performance thus leading to angry users and 2 or 3 star reviews. In all I would suggest giving the game a try and seeing for yourself on how well it runs on your device.",5
"At chapter 26, we need to defeat 10 niflung leaders, it is so frustrating since no tribe members are willing to join the attack and it is compulsary to complete the task to go to the next level. I am very frustrated. I am just stuck because of this option. Other than that i am very impressed by the game play.",2
"I like the gameplay style of this game. But there's a big flaw in the game. An exploited hack allows player to randomly switch from tribe to tribe at any moment. It creates an unfair advantage to larger tribes who create multiple tribes and then switch players between them. This allows them to create a monopoly over the server to control or destroy small newer tribes who don't obey. There needs to be a grace period, perhaps 3 to 5 days, for players to switch between same tribes over and over.",1
"At first I thought it was ugly to play it didn't work it was just a waste of time but of course if you don't try you won't know that's why I tried it and I was surprised that the game was very satisfying because in terms of graphics, gaming experienced, there is a lag issue but it's not that serious, maybe low end devices just can't handle it. Thank you for making this game even though it was just released when the game was obviously The game was very good, that's why I can say this game is 5/5.",5
Pay2Win. It's harder to play events because I got put in a server with mostly foreigners. By the time you get enough info to see that's the case it's too late to go to a different server. Can't participate properly and can't enjoy the game fully because of that flaw. Not being able to play the game properly just because of that is ridiculous.,2
"Very poor. Not explained well? Starts OK, then gets confusing, so you are selecting choices you don't even know you need? Supposed to keep you amused whilst on transport, etc, but you just end up endlessly pressing service buttons for repeat outcomes, to take 19 or 27 hours to build something! Not engaging at all. Wouldn't choose anything by this company again. Advert was misleading, too! Would give 0, but one is minimum.",1
"Very nice to play, but the Law of the jungle event should be more leveled. Low might players against some 15M of might doesnt make it fun to play. Also, some timed quests just have their items disappeared or too far away to be practical to play",3
So far I'm loving this game and loving the open world map. Easy to understand game and goes with the flow start up and of course your always going to hit the slow progress with building and research but apart from that definitely give it a go.,4
The game has great graphics and interesting in the beginning but after you finish 4 village enemies their nothing left to do then collecting the resources and updating your village the game gets super boring after that I have the game in my mobile and now I don't even feel to open the game even if I'm super bored.. The game is dead itself...,3
Didn't get bjorn because none of the other kingdoms wanted to attack and they had no incentive to. Weird how other people's involvement affects your game so much. I'm on track to finish top 80 out of a possible 200 and I won't get anything for it. If you don't spend tonnes of money on the game you'll always be behind,3
"Very good game to play when you have a lot of time to waste..it's a pay to win game, and when you spend a lot of money in the game and have problems with the game there online support are the worst you won't get far with them. They will send you the same email over and over .so basically if you download the game don't spend money please",1
"The graphics is great for a mobile game, the stars are only for that, unlike any other game there is no resource production building in this game so its very very hard to gain resources to upgrade or research or training, which is an huge obstacle for f2p. If you are someone who willed spend money, a lot on my mobile games then opt in.",2
"It's a good game but the troops you need to overcome the enemies as the game progresses is taking way too long of my the players time, it's ez to upgrade the buildings and all but the troops... NO! Plz lower the enemies difficulty or make it easier to raise troops lvl",3
"Can't move foward early on due to being unable (the game will not give the option) to clear the first archer enemies from the gate. It holds all progress hostage. I've only been playing for ten minutes. I'm a game reviewer and I have to say, the is the fastest a higher ranked game has glitched bad enough to prevent progress. Graphics: 7/10 Storyline (what I could get): 5/10 (Will change if ever fixed) Ease of use: 7/10 (not counting the glitch) Fight graphics: 3/10",2
"Despite having several not bad features and being nice overall, the game is wildly imbalanced: if you play it without investments, you can be attacked by players much stronger than you, with an obvious result. It should be noted that it's not only one single random case, but a practice. Of course, you'll be pushed back in development after defeat and will lose part of the interest in this game (once again, the game isn't terrible in many other aspects).",2
I really really really like the gaming format of this game of a simple yet strategic strategy of patiently working to build up resources and experience to become more powerful and defeat the enemies. It is pretty very well laid out and I love that. I just do wish that a different version of this game existed that didn't involve devinations and spiritual power of the magic kind and such. I would love to request one be made but wouldn't know how to get the word through so I'll just leave this.,3
